,Store No.,POS Terminal No.,Transaction No.,Date,Shifted Date,VAT %,Area HO Currency Code,Net Amount,VAT Amount,Item No.,Size Description
0,CL104,CL10401,180560,01/02/18,,19,CLP,"27,723.00","5,267.00",BY1610,8
1,CL104,CL10401,180563,01/02/18,,19,CLP,"-52,933.00","-10,057.00",BA8899,9-
2,CL104,CL10401,180564,01/02/18,,19,CLP,"52,933.00","10,057.00",BA8899,8-
3,CL104,CL10401,180569,01/02/18,,19,CLP,"13,437.00","2,553.00",BQ0759,XL
4,CL104,CL10401,180570,01/02/18,,19,CLP,"39,487.00","7,503.00",BQ4533,XL
5,CL104,CL10401,180571,01/02/18,,19,CLP,"52,933.00","10,057.00",S80993,8
6,CL104,CL10401,180572,01/02/18,,19,CLP,"26,882.00","5,108.00",BB3239,7-
7,CL104,CL10401,180573,01/02/18,,19,CLP,"20,160.00","3,830.00",BQ9645,L
8,CL104,CL10401,180574,01/02/18,,19,CLP,"19,319.00","3,671.00",BS2884,M
9,CL104,CL10401,180574,01/02/18,,19,CLP,"14,697.00","2,793.00",BQ7259,S
